original_feature,importance
ceinture,0.23864558418124973
agg,0.12527409367502934
lat,0.10092164724999142
obs,0.08852832124939156
catr,0.06882924402609417
col,0.05433792576106735
obsm,0.05056520162117379
age,0.035361711727640424
circ,0.03246575326353918
long,0.027270833673814738
non determinable,0.02647775700375068
situ,0.023163702755674132
catv,0.022331820746526038
casque,0.01906166826527266
manv,0.018440637398478295
choc,0.013779986568916849
place,0.012142664986186918
catu,0.011822286295195989
aucun,0.011718956394165484
lum,0.006465529142724283
hour_cos,0.0041835968630624274
hour_sin,0.0017174751403545474
dispositif_enfant,0.0015454450475689628
vosp,0.001318911011172107
int,0.001313086801493125
senc,0.0004818804637084577
autre,0.00041715288435344465
sexe,0.0003990280857738952
infra,0.00021607373276326305
gilet_reflechissant,0.00018347485773808446
atm,0.00016865323042287175
motor,0.00014784886988943095
weekday_sin,0.00012257501182880178
day_sin,7.162197380117477e-05
is_weekend,4.2651863929873586e-05
day_cos,3.641910546334275e-05
plan,1.615752333807502e-05
gants,1.2621547455106652e-05
prof,0.0
month_sin,0.0
month_cos,0.0
surf,0.0
airbag,0.0
weekday_cos,0.0
