feature,importance
bin__ceinture,0.23864558418124973
num__lat,0.10092164724999142
cat__obs_0,0.08278488681624391
cat__agg_2.0,0.06332661491491647
cat__agg_1.0,0.06194747876011288
cat__catr_3.0,0.05038951679191597
cat__col_1.0,0.04493189139457678
cat__obsm_0,0.037394605537892686
num__age,0.035361711727640424
num__long,0.027270833673814738
bin__non determinable,0.02647775700375068
cat__circ_2.0,0.02501162790383753
cat__situ_1.0,0.0218317430412908
bin__casque,0.01906166826527266
bin__aucun,0.011718956394165484
cat__catr_4.0,0.01077422451882132
cat__place_10,0.010360972384872982
cat__obsm_1,0.009800764814965772
cat__catv_33,0.008057885791073851
cat__manv_13,0.007871431628204086
cat__circ_1.0,0.007235926426477091
cat__catu_3,0.006793637447905047
cat__catr_1.0,0.006552245173551134
cat__choc_1,0.006188474854199737
cat__manv_15,0.0060832387877201135
cat__col_4.0,0.004477935720685622
cat__lum_3.0,0.004313022503840176
num__hour_cos,0.0041835968630624274
cat__catu_1,0.003882548891204124
cat__choc_4,0.003374515742551309
cat__catv_7,0.003145810187964765
cat__catv_38,0.0031338559644174956
cat__col_2.0,0.0023897286046727383
cat__obs_1,0.0021563977615017267
cat__lum_1.0,0.0020045540211022584
cat__obs_2,0.0019502461305478994
cat__catv_1,0.0018638909640425686
cat__choc_6,0.0018108122655457986
cat__obsm_2,0.0018031630298582268
num__hour_sin,0.0017174751403545474
cat__place_1,0.001654010862899142
bin__dispositif_enfant,0.0015454450475689628
cat__obs_6,0.001509015491717149
cat__catv_37,0.0013447670321985407
cat__vosp_0.0,0.0012797380827197097
cat__col_7.0,0.0012671231391156832
cat__manv_5,0.0011603606213025307
cat__catu_2,0.001146099956086818
cat__catv_10,0.0010247386927347227
cat__catr_2.0,0.0010193807233443888
cat__obsm_9,0.0009454408939362296
cat__choc_9,0.000915226850204583
cat__manv_0,0.0008615878393693088
cat__catv_21,0.0007160359887745731
cat__col_6.0,0.0006920831364640414
cat__int_6.0,0.0006859148844881272
cat__situ_5.0,0.0006835945833345795
cat__catv_30,0.0006552804191847379
cat__situ_3.0,0.00064836513104875
cat__catv_2,0.0006424774707052929
cat__obsm_4,0.0006212273445208743
cat__choc_8,0.0005777476690850541
cat__catv_31,0.0005611312067207834
cat__manv_16,0.0005610944541505271
cat__manv_19,0.0005015835749557283
cat__int_1.0,0.0004911793015233462
bin__autre,0.00041715288435344465
cat__catv_15,0.00039391609510314087
cat__choc_7,0.00038200306209546886
cat__manv_9,0.00036581870086498574
cat__choc_5,0.0003517314407621933
cat__senc_3,0.00034801944651977117
cat__manv_1,0.0003160434141688833
cat__col_5.0,0.0003145579850294779
cat__col_3.0,0.0002646057805230064
cat__sexe_1,0.00025947877219450875
cat__catv_3,0.0002506987968372255
cat__manv_2,0.00022236468826721334
cat__circ_3.0,0.00021819893322455288
bin__gilet_reflechissant,0.00018347485773808446
cat__infra_4.0,0.000168356986549961
cat__choc_2,0.0001549321698009009
cat__lum_5.0,0.0001479526177818492
cat__sexe_2,0.00013954931357938649
cat__catv_34,0.00013907681632387172
cat__senc_0,0.00013386101718868655
cat__atm_2.0,0.0001299261334337443
cat__catv_14,0.00012542241777767927
num__weekday_sin,0.00012257501182880178
cat__manv_23,0.00011455128926644991
cat__catv_80,9.978967319138328e-05
cat__manv_6,8.470002222412822e-05
cat__manv_20,8.251701029348653e-05
cat__catr_7.0,8.21425234641601e-05
cat__place_2,7.774321639746739e-05
cat__obs_4,7.596675031037326e-05
num__day_sin,7.162197380117477e-05
cat__manv_3,7.014220055729546e-05
cat__int_2.0,6.745224747086255e-05
cat__catv_50,6.387925312333558e-05
cat__manv_21,6.093962612092298e-05
cat__catv_39,5.7550255254432855e-05
cat__int_8.0,5.199814252131886e-05
cat__motor_5,4.982725736460632e-05
bin__is_weekend,4.2651863929873586e-05
cat__motor_2,4.1836377445045024e-05
cat__vosp_2.0,3.917292845239732e-05
cat__catv_13,3.826930772846694e-05
cat__obs_14,3.742007141233155e-05
num__day_cos,3.641910546334275e-05
cat__place_9,3.384855101006461e-05
cat__infra_5.0,3.23828269886924e-05
cat__manv_24,2.7725972212798585e-05
cat__atm_8.0,2.6022199289809115e-05
cat__manv_26,2.4573809987562252e-05
cat__choc_3,2.4542514671803487e-05
cat__motor_1,2.280559861039574e-05
cat__manv_17,1.863794876798394e-05
cat__motor_0,1.7977596468932623e-05
cat__catv_17,1.734441336917032e-05
cat__int_3.0,1.6542225489470346e-05
cat__plan_1.0,1.615752333807502e-05
cat__place_7,1.6089971007261092e-05
cat__motor_3,1.5402040000451264e-05
cat__infra_1.0,1.5333919224609662e-05
cat__obs_3,1.4388227658166231e-05
cat__manv_14,1.3325810044288969e-05
cat__atm_7.0,1.270489769931835e-05
bin__gants,1.2621547455106652e-05
cat__catr_6.0,1.1734294997187276e-05
bin__airbag,0.0
num__month_sin,0.0
num__month_cos,0.0
cat__senc_1,0.0
cat__int_5.0,0.0
cat__choc_0,0.0
cat__int_7.0,0.0
num__weekday_cos,0.0
cat__senc_2,0.0
cat__lum_4.0,0.0
cat__lum_2.0,0.0
cat__obsm_6,0.0
cat__int_4.0,0.0
cat__place_8,0.0
cat__motor_6,0.0
cat__motor_4,0.0
cat__manv_4,0.0
cat__manv_25,0.0
cat__manv_22,0.0
cat__manv_7,0.0
cat__manv_8,0.0
cat__manv_18,0.0
cat__place_3,0.0
cat__place_6,0.0
cat__manv_10,0.0
cat__place_4,0.0
cat__manv_11,0.0
cat__manv_12,0.0
cat__place_5,0.0
cat__obsm_5,0.0
cat__prof_4.0,0.0
cat__int_9.0,0.0
cat__vosp_1.0,0.0
cat__catv_0,0.0
cat__situ_8.0,0.0
cat__situ_6.0,0.0
cat__prof_1.0,0.0
