feature,importance
bin__ceinture,0.1756173974102103
num__lat,0.0883046920605108
cat__obs_0,0.07255391543699663
cat__agg_1.0,0.06765011722270158
bin__casque,0.0604086534610106
cat__catr_3.0,0.0591021628692454
num__age,0.044290949262075774
cat__obsm_0,0.04185300692087525
cat__agg_2.0,0.04043851778316133
cat__col_1.0,0.033266441421580153
bin__aucun,0.03266240036335987
cat__situ_1.0,0.02847611791429958
num__long,0.02243862562769417
bin__non determinable,0.021817563920847008
cat__circ_2.0,0.021373727086657753
cat__catv_33,0.01770972342632004
cat__place_10,0.016160779206696552
cat__situ_3.0,0.015591042481291856
cat__catr_1.0,0.012809745722459492
cat__manv_13,0.012059939414401102
cat__catu_3,0.007886088671616848
cat__catu_1,0.007621282068257175
cat__obsm_1,0.00751918738948433
cat__obs_2,0.007166882869696123
cat__choc_1,0.007133602297497323
cat__catr_4.0,0.006605579942463435
cat__lum_3.0,0.005874699725271074
cat__circ_1.0,0.003806253699668828
cat__col_7.0,0.0037409323079121274
cat__place_1,0.003646290859014013
cat__manv_15,0.003517084333824309
num__hour_cos,0.003256884533140259
cat__obs_6,0.002880887997721523
cat__catv_38,0.0024369146193355053
cat__catv_1,0.0023433417048731565
cat__catv_2,0.0019247297176196523
cat__col_6.0,0.0018792395662156184
cat__catv_21,0.001840515345688855
cat__choc_9,0.0017373184520298854
cat__col_2.0,0.0017271171220491688
cat__catv_7,0.001682203055428637
bin__autre,0.0016769825819305038
cat__catr_2.0,0.0015881928537430908
cat__catv_31,0.0015005005513438498
cat__manv_5,0.001490490328998479
num__hour_sin,0.0014554386370600827
cat__col_4.0,0.0014449650300177666
cat__manv_0,0.0014038168658940006
cat__choc_4,0.0011173487169609802
cat__catu_2,0.0009387499443120401
cat__vosp_0.0,0.0009172872725551218
bin__dispositif_enfant,0.0008744407320837741
cat__lum_1.0,0.0008654542321085353
cat__manv_1,0.0007978312597744871
cat__obs_1,0.0007757418897400511
cat__int_6.0,0.0006704949286690495
cat__manv_19,0.0006670803960816764
cat__sexe_2,0.0006246429374651357
cat__choc_6,0.0006034011029182905
cat__catv_30,0.0005997573930297399
cat__catv_10,0.0005157630972762236
cat__choc_8,0.0005127661701560292
cat__catv_37,0.0005127397986874781
cat__obsm_9,0.00048281825261968004
cat__place_2,0.00044282449954458514
cat__catv_34,0.0004239723986319795
cat__obsm_2,0.0003550605738862436
cat__choc_7,0.00035005777952955405
cat__int_1.0,0.0003486673874136798
cat__situ_5.0,0.00034813379828883915
cat__sexe_1,0.0003203198954270798
cat__manv_16,0.00030778333277338486
cat__obs_17,0.0002853735717442078
cat__motor_5,0.0002812468113323547
cat__col_5.0,0.00027738008382670185
cat__manv_6,0.000270919958896899
cat__catv_80,0.00026418883907483283
cat__obsm_4,0.0002363038358381872
cat__catv_15,0.00020041221884268656
cat__catv_14,0.00018439480774861105
cat__catv_50,0.00015395194979271831
cat__obs_8,0.00013847446747296513
cat__senc_3,0.00012035299846577156
cat__int_2.0,0.00011784520840910498
cat__choc_2,0.00011084561129047287
cat__manv_2,0.00010878902711361439
cat__manv_17,0.00010330827441100246
cat__atm_7.0,9.36272230879658e-05
cat__catv_36,9.274660852264016e-05
cat__choc_5,9.175510933275394e-05
cat__manv_9,8.730082455787546e-05
cat__int_8.0,8.68619837332303e-05
cat__senc_0,8.093855836874026e-05
num__day_sin,8.049605253533591e-05
cat__atm_2.0,7.661159068479048e-05
cat__obs_13,7.337394528536663e-05
cat__int_3.0,6.653998484895321e-05
cat__obs_16,5.131963249311626e-05
num__day_cos,5.071337310670208e-05
cat__manv_23,4.735947201193863e-05
cat__infra_4.0,4.2559386611443025e-05
cat__obs_3,4.112029856637087e-05
cat__manv_21,4.061253806577024e-05
cat__catv_39,3.955666219322523e-05
bin__gants,3.131946576828275e-05
num__weekday_cos,2.7699696766302953e-05
cat__col_3.0,2.541704901555887e-05
cat__situ_8.0,2.3312583018599747e-05
cat__manv_3,2.289741152176542e-05
cat__manv_14,2.1444168030640878e-05
cat__manv_24,1.8098084707352632e-05
cat__prof_3.0,1.750765331347875e-05
cat__infra_5.0,1.600831714752354e-05
cat__place_7,1.5642058760463594e-05
cat__motor_6,1.3757963141439403e-05
cat__obs_4,1.2944106449553345e-05
cat__atm_1.0,1.0590603968239169e-05
cat__obs_12,0.0
cat__obs_14,0.0
cat__manv_20,0.0
cat__obs_15,0.0
cat__obs_11,0.0
cat__obs_10,0.0
cat__manv_18,0.0
bin__airbag,0.0
bin__gilet_reflechissant,0.0
cat__manv_10,0.0
cat__manv_12,0.0
cat__manv_11,0.0
cat__manv_25,0.0
cat__manv_26,0.0
