original_feature,importance
ceinture,0.17876110694728817
agg,0.0961727958407385
catr,0.0897803272063113
obs,0.08635462037512898
lat,0.08346173090181708
obsm,0.059118553896153676
casque,0.05450803501427702
col,0.047953513445735285
situ,0.04709090599142062
age,0.04556102116175447
aucun,0.03742106762784526
catv,0.02896362254351506
long,0.024879414415975288
catu,0.023854314073171366
manv,0.020522404519060584
choc,0.015792345589715564
circ,0.015449340453413294
non determinable,0.013840420424469235
place,0.012814119980855233
lum,0.006508729122042904
hour_cos,0.003319463772748588
autre,0.0019485919006983175
dispositif_enfant,0.0012885798188872752
sexe,0.001071078839792755
hour_sin,0.0009107514201401071
vosp,0.0006431014998218413
int,0.0005841758063914747
motor,0.00043216522954727673
infra,0.0004118845696075125
senc,0.00018993019532115274
atm,9.71302615242222e-05
gants,5.85322769324514e-05
weekday_sin,5.4061771986165094e-05
day_sin,5.141364862825122e-05
day_cos,4.557515924902313e-05
plan,3.1524888169877635e-05
month_sin,2.9769008110104567e-05
prof,2.3880401754664288e-05
month_cos,0.0
gilet_reflechissant,0.0
surf,0.0
airbag,0.0
weekday_cos,0.0
is_weekend,0.0
