original_feature,importance
ceinture,0.2351091676476382
agg,0.12032941128523014
lat,0.10845197967812702
obs,0.09727059721785337
catr,0.06901773368671472
obsm,0.05359197949617692
col,0.05249943485415966
age,0.03577835218142054
circ,0.032669471663705
non determinable,0.02918991587262
long,0.025196859931175986
catv,0.023681669642277334
manv,0.01818440465872488
situ,0.017322650978001924
catu,0.015801282961100158
casque,0.015593305908897638
choc,0.014119887985776803
aucun,0.00922524664554856
place,0.007503268094907393
lum,0.006385822408613196
hour_cos,0.004150981647174389
dispositif_enfant,0.0017651642735214371
hour_sin,0.0016744743353196711
int,0.0016354986305468756
vosp,0.0010581971889546365
sexe,0.0005908471863413337
motor,0.0004976514545598095
autre,0.00035055720270932804
atm,0.00027364161029884865
senc,0.00025856775588484784
gilet_reflechissant,0.00021402712658044292
infra,0.00013315847745011588
day_sin,0.00010622104712833441
weekday_sin,9.807512402225479e-05
day_cos,8.955586899096677e-05
airbag,5.784915330844379e-05
month_cos,3.771172121815235e-05
is_weekend,2.8213912285597315e-05
plan,2.4818449964815223e-05
month_sin,1.734020292700911e-05
prof,1.5004832143265101e-05
surf,0.0
gants,0.0
weekday_cos,0.0
