feature,importance
bin__ceinture,0.2324751764867156
num__lat,0.09992873795170441
cat__obs_0,0.08995521163465235
cat__agg_2.0,0.0880745150949872
cat__catr_3.0,0.053924243019768656
cat__col_1.0,0.05380557543983464
cat__obsm_0,0.05258010193619121
num__age,0.03680447863500107
num__long,0.026639028149447054
cat__circ_2.0,0.02558795891212384
bin__non determinable,0.024961324635247195
cat__situ_1.0,0.020874793240940243
cat__agg_1.0,0.015408050835551324
cat__obsm_1,0.014379346102887465
bin__casque,0.01126623210664342
cat__catv_33,0.009995588572870884
bin__aucun,0.009963602132828911
cat__place_10,0.009543016114359863
cat__manv_13,0.008814879135576551
cat__choc_1,0.007929097131685655
cat__catu_3,0.006585506553008723
cat__catr_1.0,0.0063343998481350874
cat__catr_4.0,0.006143647709574693
cat__circ_1.0,0.005674116946670242
cat__lum_3.0,0.005379891655670444
cat__col_4.0,0.0048302815663870315
cat__choc_4,0.00390954554964421
cat__manv_15,0.0037220810057758355
num__hour_cos,0.003671844771953062
bin__dispositif_enfant,0.003116441808772318
cat__catu_1,0.0030936866480691804
cat__col_2.0,0.002901135490155758
cat__catv_38,0.0026873879552414765
cat__obs_2,0.0025479463161140977
cat__choc_6,0.002317649028888975
cat__catv_7,0.0022624354611759595
cat__obsm_2,0.002150298283632415
cat__place_1,0.002092230421157947
num__hour_sin,0.0018068855679998887
cat__obs_1,0.0017904894881434826
cat__catr_2.0,0.0017539050304837334
cat__col_7.0,0.0016070931919230146
cat__lum_1.0,0.0015576724992083252
cat__manv_5,0.001553620146737135
cat__catv_1,0.0015490465319378667
cat__catv_30,0.0014986370722232319
cat__col_6.0,0.001380800289213154
cat__obsm_9,0.0012100740162853407
cat__situ_3.0,0.0010973158072498676
cat__choc_9,0.0010933397381580289
cat__catv_10,0.0009865343030406926
cat__obs_6,0.0009445025388165641
cat__catu_2,0.0009142289448954246
cat__catv_21,0.000908395509037808
cat__vosp_0.0,0.0008927506208111517
cat__catv_37,0.0008451790019622206
cat__senc_3,0.0007331429052405216
cat__manv_0,0.0007083160617717436
cat__manv_9,0.0007035818294311598
cat__choc_5,0.0006511644962301789
cat__obsm_4,0.0006030889891672179
cat__situ_5.0,0.0005941951847225476
cat__sexe_1,0.0005536988532260013
cat__col_5.0,0.00049932389361451
cat__manv_16,0.0004978717393888691
cat__int_6.0,0.0004886573133698649
cat__catv_15,0.0004800654757006534
cat__catv_31,0.00043295697678158446
cat__sexe_2,0.0004249312390832246
cat__choc_8,0.00041942291575124255
cat__choc_7,0.0003850041652797352
cat__catv_2,0.00037906756921597586
cat__manv_19,0.0003750783220760315
bin__autre,0.00034326252736995646
cat__manv_2,0.0003228322131433989
cat__choc_2,0.00030429695659374396
cat__atm_2.0,0.000260088700653803
cat__circ_3.0,0.00022929668198122175
cat__manv_3,0.00022165101580234425
cat__infra_4.0,0.00018117138508022966
cat__obs_14,0.00016911804396351428
cat__place_2,0.00016307275613164422
cat__senc_0,0.00016031548858740045
cat__catv_80,0.00015330946635941158
bin__gilet_reflechissant,0.0001346232155126464
cat__manv_6,0.0001228889849263424
cat__motor_1,0.00011195251710204361
cat__motor_3,0.00010892316367699459
cat__manv_23,0.00010815634962436447
cat__motor_5,0.00010774547931094122
num__day_sin,9.827268903339295e-05
num__day_cos,9.103241825870761e-05
num__weekday_sin,9.011253447009396e-05
cat__lum_5.0,8.794412551278851e-05
cat__manv_20,8.019404808216774e-05
cat__int_2.0,7.687207678954324e-05
cat__int_7.0,7.409871945656124e-05
cat__col_3.0,6.948861404933846e-05
cat__catv_50,6.513095781783962e-05
cat__place_9,6.266756829520453e-05
cat__vosp_1.0,5.6081262494162264e-05
cat__obs_4,5.360691342600875e-05
cat__catv_39,5.2528299970085015e-05
cat__catv_17,5.252608305674221e-05
cat__catv_14,5.0172161397784894e-05
cat__choc_3,4.851988552604231e-05
cat__place_8,4.81776817144572e-05
cat__catv_13,4.446803972094854e-05
cat__plan_2.0,4.3932029381646535e-05
