original_feature,abs_coefficient
catv,19.866405574225954
manv,8.41197605879391
obs,4.973300466050633
obsm,3.988490358728934
place,2.6161662049316456
infra,2.3896643189995856
catu,2.182328546222677
situ,2.0986525649380603
col,1.854480935312641
choc,1.847906635671491
int,1.3626534383678903
catr,1.2149960469016081
ceinture,1.1070605409182794
atm,1.1037291524927437
agg,0.9817739537264883
motor,0.9668040630933928
surf,0.9489489406838802
gilet_reflechissant,0.5783321039277816
circ,0.578035105840634
autre,0.5413344688064596
lum,0.506424308424301
dispositif_enfant,0.495847390860204
aucun,0.39660109592639126
age,0.33857165991898697
non determinable,0.33505966997794223
vosp,0.2853704854886445
prof,0.26863145939915867
casque,0.2626424130934369
airbag,0.23620497788439931
senc,0.22212837366014443
lat,0.1622024980940999
gants,0.14531249616480255
plan,0.13408039754959936
hour_cos,0.07200378752792903
hour_sin,0.05986849273571849
is_weekend,0.023897772378922946
weekday_sin,0.022211337787383448
long,0.01527925839525106
sexe,0.015012531070017725
day_sin,0.009427388939561028
weekday_cos,0.006807565636207227
day_cos,0.006691903156907524
month_cos,2.395057961193074e-07
month_sin,0.0
