original_feature,abs_coefficient
catv,21.363299727090986
manv,8.619868072936173
obs,5.2498796784881945
obsm,3.9689840168431973
place,2.687891152407204
infra,2.578131053144829
catu,2.2868574180947117
situ,2.1176680799816396
choc,1.8619262734321411
col,1.8442543466272794
int,1.4566704310351228
catr,1.3040554442762595
surf,1.1926609332663074
atm,1.1921804694391258
ceinture,1.1105045834162817
motor,1.027195147264727
agg,0.9850228378709915
gilet_reflechissant,0.6005681425503411
circ,0.5797942759427215
autre,0.5536271819437965
lum,0.5140788112606534
dispositif_enfant,0.4938968747103954
aucun,0.37546355590611674
non determinable,0.3453988168562154
age,0.34144516486867615
vosp,0.31415864761603873
prof,0.25830707449651963
casque,0.25373115461955487
airbag,0.2404140638154534
senc,0.2226096529023138
lat,0.16282404117432084
gants,0.15263235621078503
plan,0.14392617488527354
hour_cos,0.07188511803944905
hour_sin,0.061607355964757866
is_weekend,0.0315997595995441
weekday_sin,0.02251289250285662
long,0.015257822527269357
day_sin,0.013620008639285036
day_cos,0.010315248377090634
sexe,0.00897906668543184
month_sin,0.006927452133369611
weekday_cos,0.0051212650188758105
month_cos,0.0006772880027274044
