original_feature,abs_coefficient
catv,20.280615068892924
manv,8.445689651450285
obs,5.088219643956461
obsm,4.161572486182523
infra,2.39235936210586
place,2.380584619150952
catu,2.0762961795137453
situ,2.073241326171485
surf,2.0102878682821124
choc,1.889237839770523
col,1.842478257342559
catr,1.4113429162539741
int,1.4089431209890377
motor,1.1194280362233027
ceinture,1.1137013016916202
atm,1.0219716001374344
agg,0.9792750706428963
gilet_reflechissant,0.6229502560306043
circ,0.5985884656812741
autre,0.5660640125584702
lum,0.5044498297243751
dispositif_enfant,0.5002670803151634
aucun,0.38861572617327445
age,0.3433311435043386
non determinable,0.3433219067839409
vosp,0.3033491479345264
airbag,0.27817696657812924
casque,0.27144334025328387
prof,0.2669420542203223
senc,0.22462470307167462
gants,0.17537663387836824
plan,0.17524717706034765
lat,0.1701655800365029
hour_cos,0.08402455930618384
hour_sin,0.06219040024169857
day_sin,0.03867214919100309
month_cos,0.03278456159066766
day_cos,0.02077829248735208
month_sin,0.019542517608896033
weekday_sin,0.017266318854431924
sexe,0.013161497388604367
long,0.012780214577311802
is_weekend,0.01090669895191969
weekday_cos,0.00017143007119308626
