feature,coefficient,abs_coefficient
cat__catv_38,-1.9207677268081582,1.9207677268081582
cat__obsm_1,-1.90437746781056,1.90437746781056
cat__manv_22,-1.4661120372638419,1.4661120372638419
cat__place_10,1.3370792392574953,1.3370792392574953
cat__catu_3,1.3370792392574953,1.3370792392574953
cat__catv_39,-1.331025357307077,1.331025357307077
cat__catv_35,1.1714953747288033,1.1714953747288033
cat__catv_21,-1.1475935576726048,1.1475935576726048
bin__ceinture,-1.1137013016916202,1.1137013016916202
cat__obsm_4,1.0661729293134203,1.0661729293134203
cat__catv_80,1.0499317558370385,1.0499317558370385
cat__catv_50,1.011690724510307,1.011690724510307
cat__agg_1.0,0.9792750706428963,0.9792750706428963
cat__catv_37,-0.930783427770534,0.930783427770534
cat__situ_5.0,-0.9208758318870743,0.9208758318870743
cat__catv_2,0.9083925777220968,0.9083925777220968
cat__catv_15,-0.905025217461968,0.905025217461968
cat__manv_13,0.8896744771357928,0.8896744771357928
cat__catv_13,-0.8883534250603237,0.8883534250603237
cat__manv_6,0.7966551347815584,0.7966551347815584
cat__obs_0,-0.7835804734897656,0.7835804734897656
cat__infra_7.0,0.7807688676311153,0.7807688676311153
cat__catv_36,0.7653105115572527,0.7653105115572527
cat__obsm_9,-0.760303412604611,0.760303412604611
cat__manv_5,0.7597963147304944,0.7597963147304944
cat__catv_1,0.7536042997022541,0.7536042997022541
cat__catu_1,-0.7392169402562498,0.7392169402562498
cat__catv_16,-0.725517674189381,0.725517674189381
cat__catv_33,0.6954284803325177,0.6954284803325177
cat__obs_2,0.686913900809551,0.686913900809551
cat__catv_31,0.6864391902449342,0.6864391902449342
cat__catv_14,-0.659189094373064,0.659189094373064
cat__catv_20,-0.6565841439135399,0.6565841439135399
cat__place_1,0.6434022169440975,0.6434022169440975
cat__obs_17,0.6268088171326168,0.6268088171326168
cat__obs_6,0.6264963549214737,0.6264963549214737
bin__gilet_reflechissant,-0.6229502560306043,0.6229502560306043
cat__catv_17,-0.6163982278404989,0.6163982278404989
cat__col_1.0,0.5934883509080197,0.5934883509080197
bin__autre,0.5660640125584702,0.5660640125584702
cat__col_4.0,-0.5650447847197964,0.5650447847197964
cat__catv_10,-0.564028408316663,0.564028408316663
cat__catv_60,0.5552816674478114,0.5552816674478114
cat__manv_19,0.5351990916885633,0.5351990916885633
cat__surf_6.0,0.5325273697333994,0.5325273697333994
cat__catr_3.0,0.5229791861619534,0.5229791861619534
cat__infra_1.0,-0.5098079775060279,0.5098079775060279
bin__dispositif_enfant,-0.5002670803151634,0.5002670803151634
cat__surf_5.0,-0.4872228296234723,0.4872228296234723
cat__manv_4,0.48681292365409945,0.48681292365409945
cat__surf_8.0,-0.48537924990585923,0.48537924990585923
cat__choc_6,-0.4573070868211876,0.4573070868211876
cat__manv_3,-0.4395024219964319,0.4395024219964319
cat__int_7.0,-0.4347790232004074,0.4347790232004074
cat__manv_0,0.4346887077095013,0.4346887077095013
cat__situ_6.0,-0.416620673853894,0.416620673853894
cat__obs_14,-0.3910085097431557,0.3910085097431557
bin__aucun,0.38861572617327445,0.38861572617327445
cat__catv_40,-0.3872958210511216,0.3872958210511216
cat__choc_9,0.38070118917007456,0.38070118917007456
cat__catv_34,0.3805317071231037,0.3805317071231037
cat__infra_4.0,0.35192709312037374,0.35192709312037374
cat__manv_14,0.34432430094229327,0.34432430094229327
num__age,0.3433311435043386,0.3433311435043386
bin__non determinable,-0.3433219067839409,0.3433219067839409
cat__int_5.0,-0.32810457367204826,0.32810457367204826
cat__motor_3,-0.3270805658955923,0.3270805658955923
cat__obs_1,-0.32193289754807863,0.32193289754807863
cat__obs_12,-0.3166210573729008,0.3166210573729008
cat__manv_17,0.3137819900171339,0.3137819900171339
cat__motor_2,-0.31273501793788994,0.31273501793788994
cat__obs_16,-0.30971966858499456,0.30971966858499456
cat__choc_5,-0.30282882985438786,0.30282882985438786
cat__circ_1.0,-0.3021186138082576,0.3021186138082576
cat__manv_1,0.2966845768967744,0.2966845768967744
cat__catv_41,0.28900602248728646,0.28900602248728646
cat__catr_7.0,0.28790949632179674,0.28790949632179674
