original_feature,importance
lat,0.0588188161710195
long,0.050978493684704904
age,0.04954325555202004
catv,0.045339174857059523
manv,0.04483263029926191
col,0.04121054480734972
ceinture,0.04024661388822878
obsm,0.037915721546193916
catr,0.03780224979115207
choc,0.03751617358800695
agg,0.034354523279804844
obs,0.03415414148308113
day_sin,0.03398992897427459
day_cos,0.03362163816425314
situ,0.025155417843657067
place,0.025066921669235326
hour_cos,0.024111180915235654
hour_sin,0.024091073699066066
circ,0.024011054876682876
senc,0.02175609059675351
casque,0.01950361213504124
weekday_sin,0.01840684973842869
int,0.018112884216576114
month_sin,0.017773465769415835
month_cos,0.017617645368329705
lum,0.017593974665492736
catu,0.017179863963513464
atm,0.015280012541844405
plan,0.01449997824640828
weekday_cos,0.013831097061050908
motor,0.013772373071615688
infra,0.013010141240165805
sexe,0.012866380488990001
prof,0.012403782391438434
aucun,0.011972992488007157
surf,0.010293185715249223
vosp,0.007822442399048866
gants,0.006759054728966512
non determinable,0.006567694335557958
is_weekend,0.0055135123756065675
autre,0.002004372392050908
airbag,0.0013479935848339864
dispositif_enfant,0.0007173585080760271
gilet_reflechissant,0.000633686887249953
