original_feature,importance
ceinture,0.12065592681636002
agg,0.08882400990379319
obsm,0.08620484316041535
catr,0.0810108299442345
catv,0.06849605089535322
col,0.0647822369652376
situ,0.05865833662934425
obs,0.05127012947405121
casque,0.047757134292271256
lat,0.045223680516210424
circ,0.04375839331458052
place,0.033093082080523036
aucun,0.029724939368884377
catu,0.026702134223248714
choc,0.02527896499873549
manv,0.021882810675767
long,0.019910485711650848
age,0.017923820131605993
gants,0.01375985253469828
plan,0.008833354622071464
motor,0.006798341591993111
lum,0.006161635838456442
int,0.004770685117791706
non determinable,0.004220946445878108
vosp,0.0033769632877076136
autre,0.0026859005452899154
sexe,0.0020328506235617544
hour_cos,0.0020042106162950083
senc,0.0016385146733198836
infra,0.0015778050923064921
prof,0.001475464595322157
day_cos,0.0012968174908595492
day_sin,0.0012266852892154725
hour_sin,0.0011147154463824784
atm,0.0010986113426353788
weekday_sin,0.0009198943034682234
surf,0.0008550738169762978
dispositif_enfant,0.0006748279673581913
month_cos,0.000644465190067572
month_sin,0.0004832681195833127
is_weekend,0.000456580711534703
weekday_cos,0.00038390922150212246
gilet_reflechissant,0.00027184180461243374
airbag,7.897460884527897e-05
