feature,importance
bin__ceinture,0.12363306903720472
cat__agg_1.0,0.0496324284835071
cat__catr_3.0,0.04592866921644305
cat__agg_2.0,0.04524268900204659
num__lat,0.044890905155735246
bin__casque,0.04444659519813042
cat__obsm_0,0.04284434431783603
cat__obs_0,0.03597795569648281
bin__aucun,0.03396281632713636
cat__catv_7,0.029974438781066738
cat__catv_33,0.02810166236936856
cat__circ_2.0,0.02558327178989959
cat__obsm_2,0.02529074229943387
cat__situ_3.0,0.024831199924734572
cat__catr_4.0,0.02379373961396354
cat__situ_1.0,0.02070498656082165
bin__gants,0.020653476555011267
num__long,0.020134580808838388
cat__place_10,0.019348651058549556
num__age,0.018076379130200514
cat__catu_3,0.01726578278155528
cat__col_1.0,0.015117667123879124
cat__circ_1.0,0.01399432920232218
cat__obsm_1,0.01318230704611195
cat__catr_1.0,0.009393389653638866
cat__choc_4,0.0092464162591274
cat__col_4.0,0.0092254908252567
cat__place_1,0.009212212435331707
cat__manv_13,0.00859350115113083
cat__col_3.0,0.008536305391408032
cat__catu_1,0.00776017555757457
cat__col_6.0,0.007513723943844492
cat__choc_1,0.007157859461317429
cat__plan_1.0,0.006924798034133512
cat__obs_2,0.006876118941515666
cat__col_7.0,0.006806936076002734
cat__col_2.0,0.006711386616191539
cat__manv_15,0.006048727579044817
bin__non determinable,0.005932711133460008
cat__catv_2,0.0052733117283555305
cat__catv_1,0.005037840798268371
cat__lum_3.0,0.0046281652507762965
cat__int_1.0,0.004196186406569316
cat__motor_5,0.0038306308982310544
cat__circ_3.0,0.003727217689942997
cat__catv_10,0.003701325469031335
cat__catu_2,0.0031108160876724667
bin__autre,0.0027732007338434374
cat__obs_13,0.0026378618832538442
cat__obs_6,0.0025159252044612513
cat__vosp_0.0,0.0025034326463235
cat__manv_2,0.0023628300459357225
cat__motor_1,0.002090729658509926
num__hour_cos,0.0018494986899981818
cat__lum_5.0,0.001403002446839271
num__day_cos,0.001266060708868057
cat__plan_3.0,0.0012210407023991621
cat__int_2.0,0.0012120443489773728
cat__sexe_1,0.0011790499006570977
num__day_sin,0.0011705580081278354
cat__place_2,0.0011395560369976021
cat__situ_5.0,0.0011186174052228955
cat__choc_6,0.0010650026708600747
cat__situ_8.0,0.0010392165851055906
num__hour_sin,0.001039067097599487
cat__manv_1,0.001007881637719497
cat__catv_30,0.0009942360545343823
cat__manv_23,0.0009361476374806981
cat__manv_3,0.0008882599622196341
cat__lum_1.0,0.0008597240353641486
cat__int_3.0,0.0008533169960346439
cat__catr_2.0,0.0008239672060654861
cat__sexe_2,0.0008113891538768466
cat__catv_38,0.0008026128236212055
num__weekday_sin,0.000798050262176286
cat__choc_2,0.0007831885504764563
cat__choc_3,0.0007823444158455281
cat__obs_3,0.0007741607522234327
cat__plan_2.0,0.0007610591284738244
cat__catv_31,0.0007599864658520819
cat__manv_5,0.0007094518151779402
cat__vosp_1.0,0.0006903689558126612
cat__senc_3,0.0006815011032547509
cat__catv_37,0.0006724907962099097
cat__col_5.0,0.0006483957177407702
cat__choc_9,0.0006342410494389992
cat__situ_4.0,0.0006139441026936015
cat__motor_3,0.0006112633645312417
num__month_cos,0.0005704718045366749
cat__obs_1,0.000568022876290851
cat__prof_1.0,0.0005446303223595011
bin__dispositif_enfant,0.0005145965993867681
cat__obsm_9,0.0004970680943556041
num__month_sin,0.0004902364774985041
cat__manv_9,0.00047487630446750606
cat__infra_0.0,0.0004683462352650189
cat__obs_4,0.00046383833324444587
cat__catv_50,0.0004535976439407816
bin__is_weekend,0.00044349986262866563
cat__catv_32,0.0004248334281119689
cat__infra_1.0,0.0003997836387662553
cat__surf_1.0,0.00038871249853199036
cat__int_6.0,0.00038195387125743776
cat__prof_2.0,0.0003699373571396835
cat__atm_2.0,0.00036984757072294023
num__weekday_cos,0.0003450489167576862
cat__surf_2.0,0.0003364316959079522
cat__manv_17,0.0003308732527241317
cat__choc_5,0.0003222448385055309
cat__obs_8,0.0003175080975207849
cat__catv_14,0.0003165099739997782
cat__manv_16,0.0003110664401636688
cat__manv_0,0.00030974057692506303
cat__catv_15,0.00030013163598660044
cat__catr_7.0,0.0002989460558070711
cat__choc_0,0.0002986450724340688
bin__gilet_reflechissant,0.00029572886389497177
cat__choc_8,0.0002890020493156154
cat__infra_5.0,0.00027773595984294957
cat__senc_1,0.00027721011802496785
cat__senc_2,0.00025970561606924623
cat__vosp_2.0,0.00023128404745987238
cat__atm_1.0,0.00022543575762009907
cat__manv_19,0.00021828296643900433
cat__choc_7,0.00021740821855748677
cat__situ_2.0,0.00020220341079980067
cat__vosp_3.0,0.00019754132418643656
cat__catv_21,0.00019668130357788308
cat__place_3,0.0001888629051587609
cat__place_4,0.00018715112634453077
cat__atm_7.0,0.0001846537417186369
cat__motor_2,0.00018408387995384707
cat__catv_34,0.00018404929893414156
cat__int_7.0,0.00018219268454538077
cat__situ_6.0,0.00017233117777989943
cat__catv_80,0.00017152100208304513
cat__senc_0,0.00015287926987085217
cat__motor_0,0.00014956246117923751
