original_feature,importance
lat,0.05764863588369378
long,0.04901606616297977
age,0.047367054856194996
catv,0.046987434336350976
manv,0.045457499932239395
col,0.04281941594925015
obsm,0.03873405130113589
choc,0.03867494929263707
ceinture,0.038470878915936466
catr,0.03762301259184615
day_sin,0.034076729348370007
agg,0.033583302686462146
day_cos,0.033534833067971045
obs,0.03331848861777537
situ,0.02518489023994339
hour_sin,0.0244658074039078
hour_cos,0.024410627986867744
place,0.023603905309954203
circ,0.02353028557521671
senc,0.022270811373776532
int,0.018822822437960244
weekday_sin,0.018750018384600383
lum,0.0180911414002293
month_sin,0.01799522905450447
casque,0.017819951782599205
month_cos,0.017799745674050474
catu,0.017076279378681978
atm,0.015736726877445074
plan,0.015216348946570243
weekday_cos,0.01405668857386447
motor,0.01379565560807524
infra,0.013523729095153357
sexe,0.012767315346559453
prof,0.012734700584395306
aucun,0.012561009805945031
surf,0.010566552060584038
vosp,0.008123830590912842
gants,0.0067253852805097165
non determinable,0.006632182769219143
is_weekend,0.005716359772017897
autre,0.0019671478235515393
airbag,0.0013548712731236744
dispositif_enfant,0.000755453834610474
gilet_reflechissant,0.0006321728123267928
