feature,importance
num__lat,0.05874222405917722
num__long,0.0494756133404767
num__age,0.047516691411322476
bin__ceinture,0.04188458349678264
num__day_sin,0.033924314244734514
num__day_cos,0.033459724208089264
num__hour_cos,0.02434224229783578
num__hour_sin,0.024341075996152622
bin__casque,0.02118783741828207
cat__agg_2.0,0.01903942892989323
num__weekday_sin,0.018689450639849295
cat__agg_1.0,0.018591890233420272
num__month_sin,0.018077221124765654
num__month_cos,0.017834894404393654
cat__catr_3.0,0.017548945168149
cat__obsm_0,0.01661030409410635
cat__obs_0,0.015266525805535464
num__weekday_cos,0.013991463649442079
cat__catv_7,0.01256793872325039
bin__aucun,0.011679440180089061
cat__circ_2.0,0.011651998982605995
cat__catv_33,0.010636884573668692
cat__obsm_2,0.01039073777901709
cat__catr_4.0,0.010174325558416101
cat__col_1.0,0.01001164034277127
cat__situ_1.0,0.00926358738780154
cat__choc_1,0.00884780763567985
cat__situ_3.0,0.008452367558806876
cat__obsm_1,0.007562257508799164
cat__senc_1,0.007290024752997857
cat__manv_1,0.007232588983582816
cat__catu_3,0.007068644486915358
bin__non determinable,0.00702611060931646
bin__gants,0.006964567299377912
cat__senc_2,0.006931780260146887
cat__circ_1.0,0.006876438625131958
cat__int_1.0,0.0068288506450507915
cat__col_3.0,0.006643304932884892
cat__col_6.0,0.006401263927288931
cat__place_10,0.006292375872336998
cat__sexe_1,0.006283679736355095
cat__sexe_2,0.00621260804382006
cat__plan_1.0,0.006069101357774708
cat__place_1,0.005842146630650605
cat__manv_13,0.005811881509621492
cat__catu_1,0.0058034937940099765
bin__is_weekend,0.005686036319158877
cat__lum_1.0,0.005644911265027147
cat__col_2.0,0.0053304613070394155
cat__choc_4,0.005193735647366686
cat__prof_1.0,0.005139093383006494
cat__catr_1.0,0.005081432642093739
cat__motor_1,0.005053514310242927
cat__atm_1.0,0.004829425089533583
cat__senc_3,0.004709150776511155
cat__choc_3,0.004707406503639361
cat__prof_2.0,0.004700304601023603
cat__lum_3.0,0.004618508398696425
cat__infra_0.0,0.004555376672544123
cat__col_7.0,0.004517452138238346
cat__int_2.0,0.0044448753278924676
cat__manv_15,0.004416986238378166
cat__surf_1.0,0.004411038339316896
cat__choc_2,0.004406696200773046
cat__col_4.0,0.004312282985721698
cat__surf_2.0,0.00427862481253285
cat__manv_2,0.004261305694489313
cat__int_3.0,0.004166858267618811
cat__catu_2,0.004011660058199714
cat__circ_3.0,0.003925669144190056
cat__place_2,0.003841559129843467
cat__lum_5.0,0.0038083786992121112
cat__catv_2,0.00380646244280459
cat__vosp_0.0,0.0036693250374695797
cat__atm_2.0,0.0035025781743811945
cat__plan_3.0,0.00349785558114454
cat__plan_2.0,0.0034010565370367106
cat__choc_8,0.0033598853132987393
cat__catv_10,0.0033428768272299562
cat__manv_0,0.003089314761148194
cat__senc_0,0.003089289861652978
cat__catv_1,0.00303141450427322
cat__choc_7,0.00300527239068922
cat__lum_2.0,0.0030051580040669733
cat__obs_2,0.002911861194933871
cat__motor_5,0.0027486609795720823
cat__motor_0,0.0027448672401318747
cat__infra_5.0,0.0027052459142915585
cat__col_5.0,0.0026030162259211708
cat__choc_0,0.002591494240554544
cat__catr_2.0,0.002393934526023478
cat__atm_8.0,0.002365393550857586
cat__manv_17,0.0023199903119969375
cat__int_6.0,0.002159590966107662
cat__int_9.0,0.0021103864926292426
cat__obs_13,0.0020775132495902716
cat__obs_6,0.0020648179262358598
cat__manv_26,0.0020471740047491803
cat__choc_6,0.0020019212753583124
cat__vosp_1.0,0.0019382625713890206
cat__motor_3,0.0019205432188129153
bin__autre,0.001907404306567905
cat__catv_30,0.0018960579988913267
cat__manv_19,0.0018528287924717726
cat__situ_8.0,0.0018279718349535306
cat__infra_9.0,0.0017493572410510238
cat__catr_7.0,0.0017327221830491085
cat__manv_5,0.001695049475505976
cat__obs_1,0.0016034494959974777
cat__vosp_3.0,0.0015927898015343964
cat__catv_31,0.001542663375235644
cat__manv_16,0.0015419638132897723
cat__int_4.0,0.001537904309393016
cat__choc_9,0.0015263486005957548
cat__atm_3.0,0.0015198250568288433
cat__manv_9,0.0014933826685338781
cat__catv_32,0.0014591353330466914
cat__manv_21,0.0014573242263589078
cat__manv_14,0.0014477993714205675
cat__atm_7.0,0.0014360956653406845
cat__vosp_2.0,0.0014247788191438131
cat__choc_5,0.001415006205642009
